File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
KRISHNA ELECTRICAL.pdf,18-May-19,"HDFC Bank  9564 5,800.00 405 Payment
POS 524254XXXXXX1996 KRISHNA",Payment,405,,5800.00
GO AIRLINES (INDIA) LIMITED.pdf,22-Aug-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
6596.00 Dr
CGST
164.90 Dr
CGST
82.45 Dr
SGST
164.90 Dr
SGST
82.45 Dr",97,6925.80,
GO AIRLINES (INDIA) LIMITED.pdf,22-Aug-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
6596.00 Dr
CGST
164.90 Dr
CGST
82.45 Dr
SGST
164.90 Dr
SGST
82.45 Dr",98,6925.80,
GO AIRLINES (INDIA) LIMITED.pdf,13-Oct-19,"(as per details)
PURCHASES
IGST","PURCHASES
15555.00 Dr
IGST
777.75 Dr",37,16332.75,
GO AIRLINES (INDIA) LIMITED.pdf,26-Nov-19,"HDFC Bank  9564 4,700.00 1759 Payment
POS 524254XXXXXX1996 INDIGO",Payment,1759,,4700.00
GO AIRLINES (INDIA) LIMITED.pdf,18-Dec-19,"HDFC Bank  9564 8,499.00 1836 Payment
POS 524254XXXXXX1996 INDIGO",Payment,1836,,8499.00
GO AIRLINES (INDIA) LIMITED.pdf,18-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
7536.00 Dr
CGST
188.40 Dr
SGST
188.40 Dr",99,7912.80,
DIAMOND STATIONERS.pdf,20-Jun-19,"HDFC Bank  9564 2,00,000.00 662 Payment
IMPS-917113358686--UTIB
XXXXXXXXXXX2321",Payment,662,,200000.00
S S ENTERPRISES.pdf,16-Aug-19,"HDFC Bank  9564 3,639.56 1147 Payment
POS 524254XXXXXX1996 S S R",Payment,1147,,3639.56
MAYA CERAMICS.pdf,2-Aug-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
567.80 Dr
CGST
51.10 Dr
SGST
51.10 Dr",341,567.80,
MAYA CERAMICS.pdf,15-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1288.12 Dr
CGST
115.94 Dr
SGST
115.94 Dr",276,1288.12,
MAYA CERAMICS.pdf,7-Jan-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
389.84 Dr
CGST
35.08 Dr
SGST
35.08 Dr",277,389.84,
LIKITH ENTERPRISES.pdf,20-Aug-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
7142.96 Dr
CGST
428.52 Dr
SGST
428.52 Dr",280,7142.96,
POORVIKA MOBILES PRIVATE LIMITED.pdf,24-Jul-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
12767.86 Dr
CGST
766.07 Dr
SGST
766.07 Dr",161,14300.00,
INTER GLOBE AVIATION LIMITED INDIGO.pdf,1-Jun-19,"(as per details)
PURCHASES
IGST","PURCHASES
5572.00 Dr
IGST
279.00 Dr",318,5572.00,
INTER GLOBE AVIATION LIMITED INDIGO.pdf,21-Aug-19,"(as per details)
PURCHASES
IGST","PURCHASES
3035.00 Dr
IGST
152.00 Dr",319,3035.00,
INTER GLOBE AVIATION LIMITED INDIGO.pdf,23-Oct-19,"(as per details)
PURCHASES
IGST","PURCHASES
1324.00 Dr
IGST
66.00 Dr",320,1324.00,
VAGH TRADER PRIVATE LIMITED.pdf,27-Jul-19,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO DEL","PURCHASES
133.04 Dr
IGST
15.96 Dr",9278,133.04,
VAGH TRADER PRIVATE LIMITED.pdf,28-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
174.58 Dr
CGST
15.71 Dr
SGST
15.71 Dr",165,174.58,
SOUTH INDIA INDUSTRIAL SUPPLIERS.pdf,30-Aug-19,"(as per details)
PURCHASES
IGST","PURCHASES
650.00 Dr
IGST
117.00 Dr",308,650.00,
SOUTH INDIA INDUSTRIAL SUPPLIERS.pdf,9-Sep-19,"(as per details)
PURCHASES
IGST","PURCHASES
1018.00 Dr
IGST
183.24 Dr",309,1201.24,
SOUTH INDIA INDUSTRIAL SUPPLIERS.pdf,21-Jan-20,"(as per details)
PURCHASES
IGST","PURCHASES
1000.00 Dr
IGST
180.00 Dr",310,1000.00,
SOUTH INDIA INDUSTRIAL SUPPLIERS.pdf,6-Feb-20,"(as per details)
PURCHASES
IGST","PURCHASES
773.00 Dr
IGST
139.14 Dr",311,912.14,
CLOUDTAIL INDIA PVT LTD.pdf,13-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
864.40 Dr
CGST
77.80 Dr
SGST
77.80 Dr",229,864.40,
CLOUDTAIL INDIA PVT LTD.pdf,22-May-19,"(as per details)
PURCHASES
CGST
SGST
IGST
BEING PURCHASES MADE VIDE INVOICE
NO DEL","PURCHASES
253.39 Dr
CGST
33.10 Dr
SGST
33.10 Dr
IGST
45.61 Dr",226,367.80,
CLOUDTAIL INDIA PVT LTD.pdf,4-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
757.00 Dr
CGST
68.11 Dr
SGST
68.11 Dr",222,893.22,
CLOUDTAIL INDIA PVT LTD.pdf,7-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
253.00 Dr
CGST
22.73 Dr
SGST
22.73 Dr",227,298.46,
CLOUDTAIL INDIA PVT LTD.pdf,20-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
711.00 Dr
CGST
56.61 Dr
SGST
56.61 Dr",228,824.22,
CLOUDTAIL INDIA PVT LTD.pdf,29-Aug-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
155.94 Dr
CGST
14.03 Dr
SGST
14.03 Dr",230,155.94,
CLOUDTAIL INDIA PVT LTD.pdf,1-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
444.00 Dr
CGST
26.62 Dr
SGST
26.62 Dr",231,497.24,
CLOUDTAIL INDIA PVT LTD.pdf,29-Sep-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST
IGST","PURCHASES
455.24 Dr
CGST
11.38 Dr
CGST
70.50 Dr
SGST
11.38 Dr
SGST
70.50 Dr
IGST
52.02 Dr",220,1315.96,
CLOUDTAIL INDIA PVT LTD.pdf,29-Sep-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST
IGST","PURCHASES
455.24 Dr
CGST
11.38 Dr
CGST
70.50 Dr
SGST
11.38 Dr
SGST
70.50 Dr
IGST
52.02 Dr",232,1315.96,
CLOUDTAIL INDIA PVT LTD.pdf,29-Sep-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST
IGST","PURCHASES
455.24 Dr
CGST
11.38 Dr
CGST
70.50 Dr
SGST
11.38 Dr
SGST
70.50 Dr
IGST
52.02 Dr",314,1315.96,
CLOUDTAIL INDIA PVT LTD.pdf,29-Sep-19,Transaction details,Purchase,,6585.10,
CLOUDTAIL INDIA PVT LTD.pdf,14-Oct-19,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO DEL","PURCHASES
422.88 Dr
IGST
76.12 Dr",4,422.88,
CLOUDTAIL INDIA PVT LTD.pdf,18-Nov-19,"(as per details)
PURCHASES
IGST","PURCHASES
642.86 Dr
IGST
77.14 Dr",315,642.86,
